symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
4,4,1024,0.008030315464251217,8030315.464251217,1819728.6395871,0.25313139,-1.09314169,-16.94111304,1000000000,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
AGA,AGA Token,,,,0,0,0,-0.21566131,0,2025-04-21T14:00:00.000Z,2026-03-10T17:00:54.421Z
AIPUMP,aiPump,2800,0.00036716115552100375,139766.04049397467,12264.58036784,-60.21950618,-55.0453202,-40.1401304,380666741,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
ALCH,Alchemist AI,307,0.07809134885294416,66377646.52500254,8753509.59836537,-0.50864306,1.75774556,-2.5322203,850000000,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
ALEPH,Aleph Cloud,1198,0.02176121880179788,5379819.004239253,175814.15873154,-0.04698752,4.32301936,3.20498592,247220482.1448135,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
ALGO,Algorand,64,0.08831202694880766,784919134.1859424,43999695.79101087,0.08217564,5.92008064,1.72698824,8888020820.09669,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
API3,API3,607,0.28380862388981,24527302.650015432,11911731.91309886,0.29878624,1.24874366,0.254252,86421978,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
APU,Apu Apustaja,939,0.00002889721980067153,9764093.451686472,660666.54601878,-0.19730873,-2.76761803,-2.86822842,337890410186.0888,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
AURY,Aurory,1373,0.0458836215304861,3447203.522791713,90793.45330792,0.00444647,-3.96314548,-6.1947008,75129281.6,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
AVA,AVA (Travala),816,0.18819109306264828,13580187.882921254,4144144.04083985,-0.25280324,-0.8820461,-6.18742654,72161693,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
BAT,Basic Attention Token,158,0.09818975190882731,146864832.9900922,10323947.13879643,0.49606265,1.80506953,-4.48804755,1495724656.9526057,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
BILLY,Billy (Bitcoin),1571,0.0022199709227203024,2219970.9227203024,27140.41677224,0.71104436,0.64131128,25.60912658,1000000000,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
BIO,Bio Protocol,410,0.021248287010054493,43535240.38220956,19164268.43914942,-0.25534868,1.86128814,1.29431002,2048882357.51,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),688,0.019758095344712637,19754107.271957785,2596314.87837142,-0.00082763,0.5761854,-2.48258982,999798155,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
BLZE,BLAZE TOKEN,,,,0,0,0,0,0,2024-05-28T01:21:00.000Z,2026-03-10T17:00:54.421Z
BNB,BNB,4,649.3723039500434,88547311914.51349,1593582227.3945,0.26296143,1.52460559,2.22509364,136358313.06,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
BNT,Bancor,516,0.2927564266818628,32060530.304489754,3402621.5161699,0.29144394,1.34777471,1.63033816,109512643.89946185,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
BORGY,BORGY,1336,0.00004799593387453848,3723379.528448648,1654.25736383,2.93799286,3.50169645,5.10089672,77576978462,2026-03-10T17:00:00.000Z,2026-03-10T17:00:54.421Z
BTC,Bitcoin,1,71218.77787806958,1424404472385.2102,52531608810.22095,-0.14262552,3.27469844,4.29493715,20000406,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
CHILLGUY,Just a chill guy,931,0.009915080770088935,9914543.71358375,2394017.90366826,-0.00978082,0.18465473,-4.70365377,999945834.379201,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
CHONKY,CHONKY,4632,1.7609723112343023e-7,0,20578.66496318,41.64135601,-29.87947638,100.81233828,0,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
CHZ,Chiliz,90,0.03931734715060935,405809781.5936284,68979236.64787062,-1.28375452,1.7884163,8.39123604,10321392744,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
CLY,Colony,2073,0.00646694089683028,729067.5688547766,110519.25126292,0.77923684,5.09438372,-0.23270336,112737626.72117867,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
COMP,Compound,149,16.924511442412015,168594969.589626,45663945.97130487,-0.09575967,1.63266506,-2.3656085,9961585.60696382,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
COW,CoW Protocol,161,0.2387910462552228,133904779.54521896,5535771.74115419,0.20038841,1.09637124,7.49897064,560761308.45417,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
CROWN,Crown by Third Time Games,1209,0.02401129495415007,5255645.136447151,21011.82638096,3.59754507,19.1715734,10.76184047,218882203,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
DOGS,DOGS,728,0.00003276159267173103,16929553.013117008,47352078.51522202,0.53121908,-7.11893617,23.30894154,516750000000,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
ETH,Ethereum,2,2080.9936555520803,251159337390.66476,24353802950.433903,0.04623216,2.61164573,4.88265973,120692024.56267609,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
FET,Artificial Superintelligence Alliance,95,0.15486024419543004,350055997.8507828,103301549.66769525,2.61815631,7.64867709,3.63540437,2260463940.6936507,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
FLOKI,FLOKI,109,0.00003058393636048023,291734407.6979637,36562372.09077162,2.33508318,7.61586928,7.4589744,9538811625142.385,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
GIGA,Gigachad,701,0.0020574528832288433,19139274.15994787,932627.47882942,0.71954099,4.03870897,0.38233453,9302411888,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
GLMR,Moonbeam,823,0.012250601147726211,13336091.278427493,1393886.93953366,-0.1246947,0.17803784,-0.51637912,1088607091,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
GNO,Gnosis,98,127.58325134415803,336729744.77391165,3036920.55131213,0.02788541,0.48419184,-1.80426067,2639294.27433682,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
GOAT,Goatseus Maximus,696,0.019332160407020828,19331840.803212807,4763589.19108585,2.1036748,6.88119529,5.55547485,999983467.765563,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
GRASS,Grass,257,0.3566998175551669,87000901.46047638,17971997.86655014,-0.15338042,7.00455728,13.11269739,243905091,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
GRIFFAIN,GRIFFAIN,997,0.008617290816975586,8616266.393443264,1360176.71345229,0.35898533,2.47074393,-5.16825303,999881120,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
GRT,The Graph,114,0.02580217307379184,277102501.84549797,22370831.73143544,0.67950963,1.83533971,-1.29425452,10739502485.043036,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
HAMMY,SAD HAMSTER,2444,0.0003383897377741744,318729.7169966671,110009.19348932,7.33230453,68.57419348,77.38707068,941901250,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
HARAMBE,Harambe on Solana,4306,0.0009525878993794869,0,62756.94819071,0.52219654,22.8110606,28.99999874,0,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
HNT,Helium,132,1.1600399330248607,216140308.80192816,3752163.47749297,0.17799757,-0.41999886,-7.19335747,186321438.2959488,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
INJ,Injective,106,3.0124492923086232,301157373.6272856,58708967.06286477,0.75021661,3.16709909,-1.38367319,99970935.41,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
IO,io.net,512,0.10990218197742807,32788580.504299138,9800965.18438377,1.3065921,3.0873484,-3.7015465,298343307.78831416,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
JOE,JOE,742,0.04093912402654325,16521976.192790924,2307164.65705241,0.88843525,7.50712774,0.99520853,403574248,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
KNC,Kyber Network Crystal v2,575,0.13123753250223685,26736098.973644864,5327786.47165254,0.25990099,2.6763023,-5.91525073,203722962.96556145,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
LINK,Chainlink,15,9.150006496331638,6479119329.693409,725000731.2116442,0.32412357,2.37231064,3.5752476,708099970.4525867,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
LOCKIN,LOCK IN,3874,0.0016603895991721502,0,483757.61977168,-0.67175067,17.80730271,28.32406101,0,2026-03-10T17:00:00.000Z,2026-03-10T17:00:54.421Z
LQTY,Liquity,568,0.2866425641726574,27417611.313851617,4371704.49163647,-0.3137321,4.60916596,-3.14061708,95650872.34335788,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
LRC,Loopring,422,0.031139056014488204,42603714.75889481,5754765.03115444,-0.08054177,1.12258898,-0.38469336,1368176181.675912,2026-03-10T17:00:00.000Z,2026-03-10T17:00:54.421Z
ME,Magic Eden,359,0.11405700678887425,53738527.94243927,111250892.71466923,-0.09138683,1.67471186,-0.97239694,471154990.433093,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
META,Metadium,730,0.009687725563539194,16775350.062791383,131493.13158656,0.80077651,1.61699563,3.52063123,1731608720,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
MEW,cat in a dogs world,351,0.0006211174709113218,55210441.85823205,8021126.01296503,0.52258043,6.71598818,2.89152725,88888888888,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
MICHI,Michi,4353,0.004301910518974826,0,57324.44920439,-26.64065726,95.94390569,176.14702291,0,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
MINI,mini,3747,0.0018597642125933681,0,3203097.38729487,-1.97648076,23.6641007,31.18163567,0,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
MOE,Merchant Moe,7068,0.01909741091254168,0,0,0.00006862,1.0503333,-17.82808295,0,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
MOODENG,Moo Deng (moodengsol.com),375,0.05043969452368952,49933874.733684555,11427339.54571073,1.07559789,4.39959966,3.40119026,989971791.17,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
MORPHO,Morpho,62,1.99584177647418,803498953.8987306,35268155.54619435,-0.53680959,3.53351561,4.87054488,402586499.275598,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
MUMU,Mumu the Bull (SOL),1794,6.129423946429514e-7,1399472.7828061497,222141.89044192,0.36201163,4.9960581,6.59880983,2283204416985,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
MV,GensoKishi Metaverse,2290,0.0012438652009174635,467097.3474490789,317396.9739736,-0.05405036,-0.18110148,8.27895237,375520874.05014,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
MYRO,Myro,1405,0.0033560166668038308,3168763.739999761,540508.50810986,1.08546734,1.96584583,3.60231699,944203815,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
NATIX,NATIX Network,1291,0.00010312587103009466,4187237.7411275893,85981.50700643,-1.60125224,0.14494722,-4.44034728,40603174541,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
NEIRO,Neiro,549,0.00006832749510508007,28744305.196109682,18501989.191599,1.24881954,5.27997651,-0.41894634,420684310933.7485,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
NEON,Neon EVM,1048,0.03214185871559438,7696867.136089351,875135.17936983,0.94195335,1.07421597,3.35981007,239465527,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
NOS,Nosana,995,0.17933280602762489,8643422.508429445,257736.6283983,0.92501453,3.43532787,10.60487422,48197665,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
NOT,Notcoin,452,0.0003955416514980244,39328471.40406391,12462743.93418463,0.59510027,0.04056105,8.23513807,99429405866.90741,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
OMFG,Omnipair,4787,0.21295874244920301,0,10243.02096219,-0.21410316,18.98425146,-21.16079515,0,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
ORE,Ore,590,58.40931582118762,25575989.019397315,402559.1127903,0.20047611,-0.10257603,-3.2363024,437875.1687093,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
OSMO,Osmosis,586,0.03375508432941213,25841782.020323485,1964220.08650666,-0.09603519,2.50571168,-0.24769101,765567100,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
PENDLE,Pendle,133,1.3016959046203702,215425068.44865197,31747062.14238999,0.28777986,6.49252036,1.4901669,165495695.02677283,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
PENGU,Pudgy Penguins,85,0.007284514115619948,457907442.6313574,130517407.58620757,1.1294735,5.80899481,3.4998454,62860396090.04,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
PIPPIN,pippin,97,0.34566060384506636,345659308.6547837,31470507.04250215,0.50557304,-5.77090395,-24.35956612,999996253,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
PNUT,Peanut the Squirrel,388,0.046457383465699525,46450063.16048805,15491988.67509005,0.7795843,4.30738135,1.78786533,999842429.670692,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
POPCAT,Popcat (SOL),368,0.05282596450312935,51766141.33105829,14703517.93912713,0.7301912,1.85064422,10.44192541,979937457.2326404,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
REN,Ren,1299,0.0041556814143513315,4126084.698369719,118714.15828705,0.1973017,1.01841954,5.19077211,992878011.322186,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
RETARDIO,RETARDIO,1603,0.002120534004165112,2068944.0943192902,736120.26941461,-0.61725245,13.98279183,13.36203987,975671265,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
SCF,Smoking Chicken Fish,2083,0.0007100276565954616,709964.2142752922,224795.75077479,0.74222462,25.65830915,23.15829706,999910648.1,2026-03-10T17:00:00.000Z,2026-03-10T17:00:54.421Z
SDEX,SmarDex,546,0.0029855323329456957,28759041.731702693,333981.57208038,0.07733752,0.66740002,9.75220579,9632801967.790913,2026-03-10T16:59:00.000Z,2026-03-10T17:00:54.421Z
SELFIE,SelfieDogCoin,2401,0.0003588128971151701,352970.6811250639,138647.43235053,-5.88031486,25.80684376,32.44449287,983717932,2026-03-10T17:00:00.000Z,2026-03-10T17:00:54.421Z
SHDW,Shadow Token,1197,0.03191865603621575,5396029.536678124,24830.46906958,-0.30609969,-0.45007247,-3.3147931,169055662.32349026,2026-03-10T16:58:00.000Z,2026-03-10T17:00:54.421Z
