symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
1INCH,1inch,151,0.25952328629065247,362337871.6665768,20283935.10528536,-0.39685609,3.22401821,3.72790193,1396167090.997674,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
A,Vaulta,102,0.46754585292319556,743379097.3995863,42056855.68939176,-0.54918592,1.52685947,-3.88648246,1589959771.329,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
AAVE,Aave,31,303.4446546862005,4620589893.617652,402786210.7123621,-0.24422054,1.94127941,-7.0620139,15227125.67929699,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
AB,AB,108,0.008389888040347997,643162220.6735256,29856777.64873184,0.04286934,-0.49664665,-4.59063309,76659213755.95,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
ADA,Cardano,10,0.8870563845235706,31727392985.175194,1187708533.8352518,-0.24806743,3.01366759,5.57998172,35767053299.79184,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
AERO,Aerodrome Finance,80,1.1615906851949154,1039652322.5840813,62460752.89078187,-0.55397575,1.67568918,-2.47405933,895024672.4900581,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
AIOZ,AIOZ Network,146,0.3112549592668879,374207930.0077402,10378894.7646928,-0.92988567,0.11651743,-2.69740898,1202255317.920486,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ALGO,Algorand,52,0.23911156321811047,2096055523.1049364,74622490.26822297,0.17512527,2.34285563,1.84446521,8766014888.175762,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
APE,ApeCoin,130,0.615412017205474,463190787.0989061,27856422.09632191,-0.07184521,2.14067779,5.99358971,752651515,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
APT,Aptos,42,4.47244071767855,3080812060.1546273,192406671.6638279,0.01827427,2.34953329,2.18483152,688843576.6128485,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ARB,Arbitrum,45,0.5149579442335477,2727104010.750782,447927701.4275476,-0.14509873,0.85169914,0.32823445,5295780056,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
ATH,Aethir,118,0.04438646570410988,506351436.8061347,118105263.3091265,3.52956098,2.40383494,41.17757087,11407789036,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ATOM,Cosmos,50,4.668755971748635,2182740246.7913413,122531929.36250933,-0.32785424,2.25624853,2.94603619,467520740,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
AVAX,Avalanche,16,28.64693684030105,12096893432.628084,1567884299.4079516,-1.46794038,10.076803,13.01538613,422275285.48916084,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
AXS,Axie Infinity,136,2.5498707880756135,425228096.0321112,37826251.89325727,-0.2676495,3.19907292,5.68493931,166764566.27554476,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BCH,Bitcoin Cash,17,579.4371570621704,11544483196.149437,426485019.9513709,-0.50868097,0.52711383,-3.01790431,19923615.625,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BEAM,Beam,148,0.007523126799197096,372139021.6054761,14021316.69237325,0.17111002,4.9874053,3.98228362,49466004168,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
BNB,BNB,5,897.2408657760867,124884534355.58028,2795516969.0224867,-0.14310839,2.6671035,4.30007627,139187300.89,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
BONK,Bonk,57,0.0000233186262290996,1891173461.2567904,260373064.64144236,-0.56488371,2.94110075,13.26241709,81101409777595.39,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
BTC,Bitcoin,1,113737.97346816259,2265550560603.428,52024945405.89164,-0.0152518,2.42830839,1.25919254,19919034,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
CAKE,PancakeSwap,90,2.5234235753177683,871698674.6414452,98297705.99032055,-0.53885271,4.61521971,4.63975083,345442867.05083764,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
CHZ,Chiliz,137,0.04259622278101687,424988658.0412435,37383599.12833529,-0.3005873,2.44015502,6.45704345,9977144223,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
COMP,Compound,138,44.04767153873399,416566516.5486377,26817821.90412744,-0.23845509,1.98404902,0.94626893,9457174.51108224,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
