symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
4,4,830,0.013213607476001577,13213607.476001577,6443442.09598078,0.81804993,-7.5277825,-23.42316905,1000000000,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AGA,AGA Token,,,,0,0,0,-0.21566131,0,2025-04-21T14:00:00.000Z,2026-04-13T17:00:37.956Z
AIPUMP,aiPump,1895,0.0027295379255578584,1039044.3065580105,16828.06879903,-2.24766468,-45.882061,-43.4204358,380666741,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ALCH,Alchemist AI,350,0.06306232054026215,53602972.45922282,6193515.1106656,0.0082524,1.60981922,-1.11543024,850000000,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ALEPH,Aleph Cloud,1212,0.020796954865677175,5141433.209036636,142284.15980889,-0.03893424,-1.76240861,-5.20180283,247220482.1448135,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ALGO,Algorand,57,0.10304482176988969,917358290.0979131,33555813.5642224,-0.23150324,0.55730382,-16.19625459,8902517121.59272,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
API3,API3,613,0.2791677179370201,24126226.37786336,11389294.87797925,0.17116336,1.03606831,0.37459463,86421978,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
APU,Apu Apustaja,923,0.00003112844099953969,10517997.375915183,419699.91046986,1.27036831,0.59578475,12.41145119,337890271346.0888,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AURY,Aurory,1585,0.026735936778222467,2008651.7230508723,82782.06345146,0.0104915,-2.88487353,-12.07537358,75129281.6,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AVA,AVA (Travala),795,0.20297709180591467,14647170.58493123,5282325.08922518,-0.46492464,0.93677414,0.80278245,72161693,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BAT,Basic Attention Token,158,0.09511177490761405,142261026.8958445,7866113.91384216,0.51921624,-0.08545094,-4.10815266,1495724656.9526057,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BILLY,Billy (Bitcoin),1577,0.002057884026360631,2057884.026360631,3530.68796546,1.02840604,0.38243592,2.40253868,1000000000,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
BIO,Bio Protocol,445,0.018001952806740128,38126230.50502743,16636283.14425519,0.35975259,2.14564419,0.56040289,2117894148.17,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),737,0.017119728265083504,17116272.73353184,2897745.05145623,0.29909873,1.34442748,1.59580257,999798155,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BLZE,BLAZE TOKEN,,,,0,0,0,0,0,2024-05-28T01:21:00.000Z,2026-04-13T17:00:37.956Z
BNB,BNB,4,606.1676372968708,82654841619.15472,1785716565.0283103,0.58608091,2.41712123,-0.05128314,136356407.92000002,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BNT,Bancor,511,0.29367069320417843,31982299.8596887,3403964.47351855,-0.11429808,1.04236328,0.48465891,108905316.73670475,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
BORGY,BORGY,1395,0.00003912268388797479,3035019.6053530546,0,-0.00014966,0.42857282,-5.93065924,77576978462,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
BTC,Bitcoin,1,72181.90780054248,1444745209930.7866,36895113081.904076,0.51914611,1.81350205,3.36089406,20015337,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
CHILLGUY,Just a chill guy,807,0.014158708691903667,14157938.20128253,11467174.75612396,-0.51777926,8.23851649,69.15161528,999945581.857929,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
CHONKY,CHONKY,3602,0.000003315450928442192,3315.4508765472187,3479.78746076,-0.26668068,-40.14323944,3617.23601985,999999984.3475369,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
CHZ,Chiliz,94,0.03655123231966727,376497847.4613813,78338893.45092048,0.03845874,-0.94754138,-6.08584199,10300551406,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
CLY,Colony,2988,0.000687728222288305,77532.84760995871,111.57558698,-0.32712621,1.59560693,-2.49873093,112737626.72117867,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
COMP,Compound,131,20.44504189243943,203778071.51461798,49400651.37556138,0.08204026,-1.73468537,22.22593251,9967114.40292891,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
COW,CoW Protocol,170,0.21436343285969278,118568201.53682049,3999368.77035718,0.08933365,1.57269274,-1.37334744,553117665.4295646,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
CROWN,Crown by Third Time Games,1360,0.015152809035369579,3316680.2232999983,3294.14998521,0.17001384,-2.26308763,-7.45719664,218882203,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
DOGS,DOGS,806,0.000027512272015656538,14216966.564090516,3456518.42895109,0.79226229,0.01968003,-0.10108902,516750000000,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ETH,Ethereum,2,2226.7663777288512,268750713400.30536,16032907395.95169,0.83488862,1.84343263,3.89266694,120691023.57940784,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
FET,Artificial Superintelligence Alliance,81,0.23287330731885622,526012179.251058,128801965.44474556,0.79924609,-0.24036684,-2.24648069,2258791208.4351873,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
FLOKI,FLOKI,115,0.000028052295091643922,267557246.81533295,19275336.93272268,0.30760491,1.12970352,0.87236842,9537802377354.557,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GIGA,Gigachad,731,0.0018807207495878978,17495239.05897473,906710.23468309,-0.27436826,2.44305511,3.89592699,9302411888,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GLMR,Moonbeam,874,0.010949072038573662,11964301.159049233,2522514.17764843,0.639807,3.15906794,3.52378759,1092722846,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GNO,Gnosis,103,118.56722336011507,312931599.5933059,1564545.88305006,0.16770619,0.75434536,-3.78127044,2639275.76884265,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GOAT,Goatseus Maximus,789,0.014805679612336559,14805406.331668839,9947679.6043111,-1.12034253,-8.15526406,-10.02309298,999981542.17335,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GRASS,Grass,259,0.33543101807841924,81813332.98863949,11618927.60257478,0.52968957,1.45023354,7.11117955,243905091,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
GRIFFAIN,GRIFFAIN,761,0.016040494918056546,16038588.024020689,2688801.24796876,0.02848365,-1.93829191,25.38433235,999881120,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
GRT,The Graph,119,0.02380551520550031,256570267.2230751,23230390.23198255,-0.01144532,1.23635414,-1.76126977,10777765782.770962,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
HAMMY,SAD HAMSTER,2543,0.0002449219546934216,230692.29527817716,543.50325987,0.36132858,2.18169283,16.85697296,941901250,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
HARAMBE,Harambe on Solana,4445,0.0009651969792102084,0,25895.45623914,1.23791042,18.45326815,7.28196755,0,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
HNT,Helium,134,1.0343133650333314,192714753.82173303,2212414.65110592,0.99630668,0.76110964,4.17769252,186321438.2959488,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
INJ,Injective,105,2.9477957971897144,294693959.51614416,48082470.46924359,0.6735797,1.70087978,0.7455731,99970954.5,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
IO,io.net,514,0.10044421110837662,31889331.03263682,5898622.02693795,0.49598246,1.00872683,3.41505605,317483015.5042891,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
JOE,JOE,729,0.04381341840644451,17681967.3856902,4128365.06515687,-0.05978708,-1.47677664,18.52793362,403574248,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
KNC,Kyber Network Crystal v2,577,0.1316267911667015,26815857.759112712,3471685.54789409,0.00909266,0.18692872,0.34694967,203726441.41382438,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
LINK,Chainlink,14,8.887530864156126,6462123428.722248,503900146.77232414,0.80317919,1.91321046,-1.54339971,727099970.4523478,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
LOCKIN,LOCK IN,3848,0.0011749238670610638,0,632009.80247556,0.88256912,9.43658878,-2.09939047,0,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
LQTY,Liquity,582,0.2747840633528104,26426543.39987132,2755088.53474865,0.66394456,-0.60730823,1.87826995,96172038.06299648,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
LRC,Loopring,649,0.016006212980467966,21903013.861963432,4190195.5490456,-0.27832473,-0.57449282,-7.97749932,1368406998.500595,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
